gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
M;25;Milan;Married;Without a qualification;Employee;NSEP;10000;Milan;1;446.31;423.99;454.43;470.00;;;;;;;;207.47;;707.00;
F;25;Milan;Married;Without a qualification;Employee;NSEP;10000;Milan;1;446.31;423.99;454.43;470.00;;;;;;;;207.47;;707.00;
M;32;Milan;Married;Without a qualification;Employee;NSEP;10000;Milan;1;410.01;389.52;419.44;436.47;;;;;;;;185.26;;646.00;
F;32;Milan;Married;Without a qualification;Employee;NSEP;10000;Milan;1;380.75;361.71;390.88;409.28;;;;;;;;185.26;;646.00;
M;25;Naples;Married;Without a qualification;Employee;NSEP;10000;Milan;1;593.44;563.76;577.01;598.36;;;;;;;;220.11;;766.00;
F;25;Naples;Married;Without a qualification;Employee;NSEP;10000;Milan;1;593.44;563.76;577.01;598.36;;;;;;;;220.11;;766.00;
M;32;Naples;Married;Without a qualification;Employee;NSEP;10000;Milan;1;487.59;463.22;494.25;507.78;;;;;;;;192.09;;697.00;
F;32;Naples;Married;Without a qualification;Employee;NSEP;10000;Milan;1;487.59;463.22;494.25;507.78;;;;;;;;192.09;;697.00;
M;25;Morocco;Married;Without a qualification;Employee;NSEP;10000;Milan;1;622.59;591.45;589.04;613.17;;;;;;;;251.32;;710.00;
F;25;Morocco;Married;Without a qualification;Employee;NSEP;10000;Milan;1;622.59;591.45;589.04;613.17;;;;;;;;251.32;;710.00;
M;32;Morocco;Married;Without a qualification;Employee;NSEP;10000;Milan;1;565.20;536.94;562.55;575.81;;;;;;;;237.42;;650.00;
F;32;Morocco;Married;Without a qualification;Employee;NSEP;10000;Milan;1;565.20;536.94;562.55;575.81;;;;;;;;237.42;;650.00;
M;25;China;Married;Without a qualification;Employee;NSEP;10000;Milan;1;536.57;509.73;538.46;552.56;;;;;;;;251.32;;710.00;
F;25;China;Married;Without a qualification;Employee;NSEP;10000;Milan;1;536.57;509.73;538.46;552.56;;;;;;;;251.32;;710.00;
M;32;China;Married;Without a qualification;Employee;NSEP;10000;Milan;1;455.23;432.47;463.05;478.14;;;;;;;;237.42;;650.00;
F;32;China;Married;Without a qualification;Employee;NSEP;10000;Milan;1;455.23;432.47;463.05;478.14;;;;;;;;237.42;;650.00;
M;25;Milan;Single;Without a qualification;Employee;NSEP;10000;Milan;1;426.22;404.91;435.11;451.49;;;;;;;;207.47;;688.00;
F;25;Milan;Single;Without a qualification;Employee;NSEP;10000;Milan;1;426.22;404.91;435.11;451.49;;;;;;;;207.47;;688.00;
M;32;Milan;Single;Without a qualification;Employee;NSEP;10000;Milan;1;433.80;412.10;442.39;458.49;;;;;;;;185.26;;628.00;
F;32;Milan;Single;Without a qualification;Employee;NSEP;10000;Milan;1;423.28;402.12;432.29;448.78;;;;;;;;185.26;;628.00;
M;25;Naples;Single;Without a qualification;Employee;NSEP;10000;Milan;1;625.78;594.50;590.26;614.49;;;;;;;;220.11;;748.00;
F;25;Naples;Single;Without a qualification;Employee;NSEP;10000;Milan;1;625.78;594.50;590.26;614.49;;;;;;;;220.11;;748.00;
M;32;Naples;Single;Without a qualification;Employee;NSEP;10000;Milan;1;525.20;498.94;528.80;542.19;;;;;;;;192.09;;680.00;
F;32;Naples;Single;Without a qualification;Employee;NSEP;10000;Milan;1;525.20;498.94;528.80;542.19;;;;;;;;192.09;;680.00;
M;25;Morocco;Single;Without a qualification;Employee;NSEP;10000;Milan;1;655.96;623.15;605.19;626.29;;;;;;;;251.32;;695.00;
F;25;Morocco;Single;Without a qualification;Employee;NSEP;10000;Milan;1;655.96;623.15;605.19;626.29;;;;;;;;251.32;;695.00;
M;32;Morocco;Single;Without a qualification;Employee;NSEP;10000;Milan;1;598.91;568.97;579.39;602.70;;;;;;;;237.42;;635.00;
F;32;Morocco;Single;Without a qualification;Employee;NSEP;10000;Milan;1;598.91;568.97;579.39;602.70;;;;;;;;237.42;;635.00;
M;25;China;Single;Without a qualification;Employee;NSEP;10000;Milan;1;606.49;576.17;582.58;606.21;;;;;;;;251.32;;695.00;
F;25;China;Single;Without a qualification;Employee;NSEP;10000;Milan;1;606.49;576.17;582.58;606.21;;;;;;;;251.32;;695.00;
M;32;China;Single;Without a qualification;Employee;NSEP;10000;Milan;1;490.39;465.87;496.96;510.35;;;;;;;;237.42;;635.00;
F;32;China;Single;Without a qualification;Employee;NSEP;10000;Milan;1;490.39;465.87;496.96;510.35;;;;;;;;237.42;;635.00;
